,0
1754,-1.87
1755,0.77
1756,0.3
1757,-1.81
1758,0.91
1759,0.62
1760,-2.31
1761,0.14
1762,0.32
1763,-1.02
1764,-0.04
1765,1.03
1766,1.04
1767,0.88
1768,1.3
1769,1.2
1770,2.56
1771,0.09
1772,0.47
1773,1.48
1774,-0.32
1775,-0.36
1776,1.11
1777,-0.14
1778,-0.82
1779,-0.04
1780,0.16
1781,-0.57
1782,-0.93
1783,1.43
1784,-1.56
1785,-1.06
1786,1.08
1787,-0.8
1788,0.8
1789,1.74
1790,0.11
1791,3.5
1792,1.02
1793,-0.03
1794,2.68
1795,0.22
1796,-0.58
1797,0.99
1798,0.34
1799,-0.59
1800,0.68
1801,0.44
1802,-0.21
1803,-0.18
1804,0.58
1805,-0.8
1806,-1.95
1807,0.2
1808,-1.04
1809,-1.58
1810,0.62
1811,-0.66
1812,-0.1
1813,0.94
1814,-0.01
1815,2.82
1816,0.13
1817,-1.17
1818,2.92
1819,-0.64
1820,-1.02
1821,-0.87
1822,-0.41
1823,0.76
1824,-0.04
1825,0.72
1826,-1.99
1827,-1.14
1828,-0.42
1829,-1.36
1830,-0.17
1831,0.13
1832,0.62
1833,0.74
1834,0.94
1835,0.94
1836,1.55
1837,0.71
1838,0.32
1839,1.6
1840,0.06
1841,0.59
1842,0.07
1843,0.31
1844,0.72
1845,0.22
1846,1.01
1847,1.07
1848,1.01
1849,1.19
1850,1.2
1851,1.06
1852,1.14
1853,-0.22
1854,2.15
1855,1.29
1856,-0.25
1857,1.16
1858,0.62
1859,-0.32
1860,1.52
1861,0.4
1862,-0.6
1863,1.25
1864,1.09
1865,-0.3
1866,0.18
1867,0.89
1868,0.76
1869,-1.66
1870,0.73
1871,0.35
1872,0.61
1873,0.32
1874,-0.85
1875,-1.05
1876,-0.41
1877,-0.48
1878,-1.04
1879,0.49
1880,0.21
1881,6.72
1882,0.53
1883,-0.69
1884,2.47
1885,-0.56
1886,-1.38
1887,0.62
1888,-0.93
1889,-0.88
1890,-0.75
1891,-0.28
1892,-0.71
1893,-1.27
1894,-0.24
1895,-0.82
1896,-2.19
1897,0.42
1898,1.15
1899,-0.37
1900,2.99
1901,1.25
1902,0.07
1903,0.94
1904,0.83
1905,0.65
1906,0.45
1907,0.33
1908,2.08
1909,0.1
1910,-1.29
1911,-0.73
1912,0.04
1913,-0.29
1914,-2.26
1915,2.72
1916,-0.28
1917,0.88
1918,4.09
1919,-0.61
1920,0.95
1921,3.13
1922,-0.25
1923,0.59
1924,2.58
